Month,курс валют: (Ukraine)
2004-01,13
2004-02,3
2004-03,11
2004-04,10
2004-05,10
2004-06,10
2004-07,10
2004-08,5
2004-09,12
2004-10,9
2004-11,15
2004-12,15
2005-01,7
2005-02,13
2005-03,9
2005-04,14
2005-05,15
2005-06,13
2005-07,12
2005-08,8
2005-09,16
2005-10,12
2005-11,9
2005-12,10
2006-01,8
2006-02,12
2006-03,9
2006-04,12
2006-05,11
2006-06,12
2006-07,15
2006-08,9
2006-09,11
2006-10,7
2006-11,9
2006-12,12
2007-01,10
2007-02,8
2007-03,9
2007-04,12
2007-05,12
2007-06,10
2007-07,11
2007-08,12
2007-09,12
2007-10,14
2007-11,14
2007-12,13
2008-01,13
2008-02,14
2008-03,19
2008-04,17
2008-05,23
2008-06,20
2008-07,21
2008-08,21
2008-09,19
2008-10,48
2008-11,33
2008-12,70
2009-01,46
2009-02,38
2009-03,30
2009-04,25
2009-05,25
2009-06,25
2009-07,33
2009-08,39
2009-09,36
2009-10,30
2009-11,26
2009-12,22
2010-01,26
2010-02,23
2010-03,23
2010-04,25
2010-05,29
2010-06,24
2010-07,25
2010-08,22
2010-09,21
2010-10,23
2010-11,20
2010-12,20
2011-01,16
2011-02,17
2011-03,17
2011-04,16
2011-05,19
2011-06,18
2011-07,19
2011-08,22
2011-09,25
2011-10,21
2011-11,21
2011-12,19
2012-01,20
2012-02,17
2012-03,16
2012-04,13
2012-05,14
2012-06,18
2012-07,18
2012-08,17
2012-09,23
2012-10,18
2012-11,20
2012-12,15
2013-01,15
2013-02,14
2013-03,12
2013-04,13
2013-05,13
2013-06,14
2013-07,15
2013-08,15
2013-09,16
2013-10,15
2013-11,15
2013-12,18
2014-01,21
2014-02,54
2014-03,60
2014-04,77
2014-05,39
2014-06,32
2014-07,32
2014-08,59
2014-09,54
2014-10,31
2014-11,51
2014-12,64
2015-01,42
2015-02,100
2015-03,83
2015-04,48
2015-05,39
2015-06,40
2015-07,52
2015-08,49
2015-09,37
2015-10,41
2015-11,41
2015-12,38
2016-01,44
2016-02,40
2016-03,35
2016-04,33
2016-05,26
2016-06,27
2016-07,25
2016-08,35
2016-09,38
2016-10,23
2016-11,33
2016-12,31
2017-01,38
2017-02,27
2017-03,24
2017-04,23
2017-05,23
2017-06,24
2017-07,24
2017-08,26
2017-09,29
2017-10,27
2017-11,24
2017-12,30
2018-01,33
2018-02,32
2018-03,29
